* INFO  2022-09-29T11:46:15,788 Scheduled monitoring service (DefaultMonitoringService.java [main])
* INFO  2022-09-29T11:47:11,796 Scheduled monitoring service (DefaultMonitoringService.java [main])
* INFO  2022-09-29T11:48:43,645 Scheduled monitoring service (DefaultMonitoringService.java [main])
* INFO  2022-09-29T11:48:44,204 Scheduled monitoring service (DefaultMonitoringService.java [main])
* INFO  2022-09-29T11:48:44,300 Scheduled monitoring service (DefaultMonitoringService.java [main])
* INFO  2022-09-29T14:23:23,866 Scheduled monitoring service (DefaultMonitoringService.java [main])
* INFO  2022-09-29T14:24:15,972 Scheduled monitoring service (DefaultMonitoringService.java [main])
* INFO  2022-09-29T14:27:12,577 Scheduled monitoring service (DefaultMonitoringService.java [main])
* INFO  2022-10-19T15:36:10,812 (admin) Import:Start (DefaultMetadataImportService.java [http-nio-8080-exec-9])
* INFO  2022-10-19T15:36:10,915 (admin) Import:Validation took 0.008908 sec. (DefaultObjectBundleValidationService.java [http-nio-8080-exec-9])
* INFO  2022-10-19T15:36:10,925 (admin) Creating 1 object(s) of type OrganisationUnit (DefaultObjectBundleService.java [http-nio-8080-exec-9])
* INFO  2022-10-19T15:36:10,953 (admin) Import:Commit took 0.032740 sec. (DefaultMetadataImportService.java [http-nio-8080-exec-9])
* INFO  2022-10-19T15:36:10,957 (admin) Import:Done took 0.144947 sec. (DefaultMetadataImportService.java [http-nio-8080-exec-9])
* INFO  2022-10-19T15:37:01,269 (admin) Import:Start (DefaultMetadataImportService.java [http-nio-8080-exec-4])
* INFO  2022-10-19T15:37:01,325 (admin) Import:Validation took 0.007881 sec. (DefaultObjectBundleValidationService.java [http-nio-8080-exec-4])
* INFO  2022-10-19T15:37:01,329 (admin) Creating 1 object(s) of type User (DefaultObjectBundleService.java [http-nio-8080-exec-4])
* INFO  2022-10-19T15:37:01,460 (admin) Import:Commit took 0.131576 sec. (DefaultMetadataImportService.java [http-nio-8080-exec-4])
* INFO  2022-10-19T15:37:01,463 (admin) Import:Done took 0.194952 sec. (DefaultMetadataImportService.java [http-nio-8080-exec-4])
* INFO  2022-10-19T15:37:09,585 (admin) Import:Start (DefaultMetadataImportService.java [http-nio-8080-exec-5])
* INFO  2022-10-19T15:37:09,671 (admin) Import:Validation took 0.000554 sec. (DefaultObjectBundleValidationService.java [http-nio-8080-exec-5])
* INFO  2022-10-19T15:37:09,674 (admin) Creating 1 object(s) of type UserRole (DefaultObjectBundleService.java [http-nio-8080-exec-5])
* INFO  2022-10-19T15:37:09,683 (admin) Import:Commit took 0.009457 sec. (DefaultMetadataImportService.java [http-nio-8080-exec-5])
* INFO  2022-10-19T15:37:09,688 (admin) Import:Done took 0.102346 sec. (DefaultMetadataImportService.java [http-nio-8080-exec-5])
* INFO  2022-10-19T15:37:25,465 (admin) Import:Start (DefaultMetadataImportService.java [http-nio-8080-exec-8])
* INFO  2022-10-19T15:37:25,511 (admin) Import:Validation took 0.005610 sec. (DefaultObjectBundleValidationService.java [http-nio-8080-exec-8])
* INFO  2022-10-19T15:37:25,515 (admin) Updating 1 object(s) of type User (DefaultObjectBundleService.java [http-nio-8080-exec-8])
* INFO  2022-10-19T15:37:25,531 (admin) Import:Commit took 0.016622 sec. (DefaultMetadataImportService.java [http-nio-8080-exec-8])
* INFO  2022-10-19T15:37:25,534 (admin) Import:Done took 0.068903 sec. (DefaultMetadataImportService.java [http-nio-8080-exec-8])
